Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
Arizona Cardinals,"1,138,411","575,780","562,631","70,542","63,331","63,650","63,286","71,310","77,773","64,357","65,629","64,609","64,030",Bye,"68,649","66,873","64,533","64,135","68,804","73,051","63,849"
Atlanta Falcons,"1,185,384","642,432","542,952","72,291","69,879","72,441","72,204","70,016","70,884","70,691","62,787","72,665","70,005","76,545",Bye,"72,139","67,008","62,364","70,404","63,480","69,581"
Baltimore Ravens,"1,220,990","568,423","652,567","73,611","70,762","93,566","70,636","66,341","71,316","64,828","67,431","71,051","71,439","67,551","70,240","71,344",Bye,"77,455","71,313","71,544","70,562"
Buffalo Bills,"1,192,970","565,564","627,406","70,542","65,601","70,316","70,636","71,427","81,118","70,842","68,704","70,862","66,474","71,112",Bye,"70,437","73,493","65,327","70,725","70,728","64,626"
Carolina Panthers,"1,175,655","640,515","535,140","70,007","70,145","62,417","77,258","59,307","70,884","63,380","76,135","70,292","70,132",Bye,"73,216","69,214","69,879","70,570","68,804","64,434","69,581"
Chicago Bears,"1,076,006","527,841","548,165","59,403","71,412","66,624","59,074","59,307","61,182",Bye,"64,704","64,609","58,912","59,419","57,659","64,275","71,662","67,017","56,539","56,346","77,862"
Cincinnati Bengals,"1,191,765","530,355","661,410","66,214","73,558","66,207","77,258","66,341","78,809","68,143","67,239","65,962","71,439","70,240",Bye,"66,112","92,587","63,745","65,734","66,546","65,631"
Cleveland Browns,"1,134,676","541,808","592,868","67,431","60,105","68,016","62,401","59,030","69,879","68,143","67,431","67,431",Bye,"70,006","67,431","68,306","66,845","67,983","65,734","67,942","70,562"
Dallas Cowboys,"1,401,575","836,749","564,826","67,431","93,691","93,566","80,425","67,380","93,644",Bye,"71,521","72,665","93,644","92,969","64,955","92,196","92,587","70,570","93,103","69,879","91,349"
Denver Broncos,"1,142,969","515,265","627,704","68,714","74,215","62,738","82,243","72,825","70,743","70,008","76,135","71,051","73,704","76,545","62,460","68,306",Bye,"76,496","70,240","66,546",
Detroit Lions,"1,153,330","584,300","569,030","66,530","64,160","63,650","66,658",Bye,"93,644","66,971","64,316","78,330","71,512","64,273","66,696","64,275","63,987","65,327","56,539","71,688","64,774"
Green Bay Packers,"1,214,251","702,030","512,221","47,236","77,827","67,322","78,335","72,842","77,773","78,197","65,618","78,330",Bye,"59,419","78,222","77,599","63,987","68,766","77,885","67,031","77,862"
Houston Texans,"1,216,430","570,666","645,764","65,306","71,412","66,843","71,115","71,427","64,628","78,197","71,380","79,818","71,512","92,969","71,055","62,588",Bye,"71,221","73,600","71,544","61,815"
Indianapolis Colts,"1,161,683","526,138","635,545","65,306","77,827","66,624","66,376","60,214","64,302","66,299","71,380","66,954","66,474","80,582","66,696","64,626",Bye,"76,496","65,322","73,164","63,041"
Jacksonville Jaguars,"1,114,472","526,117","588,355","65,582","60,105","70,316","71,115","60,214","61,182","86,651","65,618","69,879","65,695","64,273",Bye,"62,588","61,644","63,251","61,323","61,995","63,041"
Kansas City Chiefs,"1,144,982","588,837","556,145","73,611","73,558","72,441","70,240","73,592",Bye,"71,309","62,533","73,574","73,704","71,112","73,216","73,627","73,571","67,983","73,600","67,311",
Las Vegas Raiders,"1,122,807","497,403","625,404","70,240","70,762","62,417","62,401","72,825","62,553","73,267","62,533","65,962",Bye,"65,440","62,460","73,627","63,250","62,364","61,323","70,031","61,352"
Los Angeles Chargers,"1,170,832","559,732","611,100","70,240","70,145","66,734","70,240",Bye,"70,743","64,357","70,240","67,431","68,796","70,240","70,240","72,139","73,571","69,496","70,240","64,628","61,352"
Los Angeles Rams,"1,124,537","584,264","540,273","66,530","63,331",,"59,074","72,842",Bye,"73,267","72,127","68,632","72,474","64,628","74,400","70,006","73,493","71,201","76,871","73,051","72,610"
Miami Dolphins,"1,153,651","525,150","628,501","65,582","65,601","68,658","65,291","64,628",Bye,"66,299","65,629","70,862","72,474","65,440","65,479","77,599","65,787","71,221","66,341","67,942","68,818"
Minnesota Vikings,"1,153,509","596,577","556,932","81,908","66,741","66,843","78,335","61,139",Bye,"66,971","72,127","66,954","65,695","67,686","57,659","66,873","67,008","67,017","68,748","67,031","64,774"
New England Patriots,"1,147,581","517,078","630,503","66,214","64,686","80,812","71,042","64,628","64,628","86,651","64,628","66,533","58,912","64,628","65,479","64,626",Bye,"64,135","70,725","64,628","64,626"
New Orleans Saints,"1,227,161","630,113","597,048","70,007","93,691","70,006","72,204","73,592","70,041","70,008","70,240","70,292","70,005","70,006",Bye,"70,006","76,143","70,003","77,885","70,031","63,001"
New York Giants,"1,273,642","706,231","567,411","81,908","61,841","68,016","80,425","68,306","78,809","82,779","66,637","77,994","70,132",Bye,"77,554","92,196","76,143","77,455","70,404","73,164","69,879"
New York Jets,"1,224,693","631,346","593,347","71,319","65,509","80,812","82,243","61,139","81,118","66,956","64,628","79,818","64,030","80,582",Bye,"81,084","65,787","63,251","76,871","70,728","68,818"
Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18
Philadelphia Eagles,"1,194,031","606,268","587,763","47,236","69,879","70,006","64,223",Bye,"69,879","82,779","67,239","69,879","93,644","69,879","74,400","71,344","69,879","69,879","64,128","69,879","69,879"
Pittsburgh Steelers,"1,151,407","535,045","616,362","72,291","74,215","66,734","66,376","67,380","62,553","66,956","66,637",Bye,"66,192","67,551","67,431","66,112","66,845","69,879","71,313","67,311","65,631"
San Francisco 49ers,"1,122,075","642,803","479,272","71,319","66,741",,"71,042","71,310","68,768","71,309","71,521",Bye,"64,914","71,751","78,222","70,437","71,662","71,201","66,341","71,688","63,849"
Seattle Seahawks,"1,166,304","617,945","548,359","68,714","64,686","68,658","66,658","68,306","68,768","70,691","68,704","68,632",Bye,"71,751","68,649","81,084","64,533","68,766","68,748","56,346","72,610"
Tampa Bay Buccaneers,"1,160,353","573,195","587,158","63,020","64,160","62,738","64,223","70,016","70,041","64,828","62,787","73,574","64,914",Bye,"77,554","69,214","63,250","69,496","93,103","64,434","63,001"
Tennessee Titans,"1,108,720","518,556","590,164","59,403","65,509","67,322","65,291",Bye,"64,302","70,842","64,316","66,533","68,796","67,686","71,055","63,144","61,644","63,745","65,322","61,995","61,815"
Washington Commanders,"1,143,908","570,854","573,054","63,020","61,841","66,207","63,286","59,030","71,316","63,380","64,704","77,994","66,192","69,879","64,955","63,144",Bye,"70,003","64,128","63,480","91,349"
,"18,755,380",,,"1,079,354","1,113,463","1,046,350","1,120,807","938,357","1,005,640","1,064,678","1,081,629","1,064,586","977,923","992,081","898,016","1,133,570","910,389","1,098,909","1,121,080","1,079,798","1,028,750"
